地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1995年,75～79歳,1260411,,2028656,,3289067,
全国（日本）,1995年,70～74歳,1941558,,2753609,,4695167,
全国（日本）,1995年,65～69歳,2998706,,3397372,,6396078,
全国（日本）,1995年,60～64歳,3611948,,3863161,,7475109,
全国（日本）,1995年,55～59歳,3906621,,4046859,,7953480,
全国（日本）,1995年,50～54歳,4421787,,4500131,,8921918,
全国（日本）,1995年,45～49歳,5328335,,5290031,,10618366,
全国（日本）,1995年,40～44歳,4527352,,4478720,,9006072,
全国（日本）,1995年,35～39歳,3945809,,3876412,,7822221,
全国（日本）,1995年,30～34歳,4113849,,4012606,,8126455,
全国（日本）,1995年,25～29歳,4452125,,4336016,,8788141,
全国（日本）,1995年,20～24歳,5041228,,4853773,,9895001,
全国（日本）,1995年,15～19歳,4385775,,4172183,,8557958,
全国（日本）,1995年,10～14歳,3826968,,3650837,,7477805,
全国（日本）,1995年,5～9歳,3349827,,3190844,,6540671,
全国（日本）,1995年,0～4歳,3070015,,2925239,,5995254,
全国（日本）,1995年,総数,61574398,総務省統計局「国勢調査」による。,63995848,総務省統計局「国勢調査」による。,125570246,
全国（日本）,2000年,100歳以上,2027,,10229,,12256,
全国（日本）,2000年,95～99歳,25070,,93418,,118488,
全国（日本）,2000年,90～94歳,149295,,420986,,570281,
全国（日本）,2000年,85～89歳,477083,,1055240,,1532323,
全国（日本）,2000年,80～84歳,915268,,1699421,,2614689,
全国（日本）,2000年,75～79歳,1625822,,2524778,,4150600,
全国（日本）,2000年,70～74歳,2670270,,3230306,,5900576,
全国（日本）,2000年,65～69歳,3357281,,3748658,,7105939,
全国（日本）,2000年,60～64歳,3749528,,3986305,,7735833,
全国（日本）,2000年,55～59歳,4290239,,4443933,,8734172,
全国（日本）,2000年,50～54歳,5210038,,5231952,,10441990,
全国（日本）,2000年,45～49歳,4467772,,4448236,,8916008,
全国（日本）,2000年,40～44歳,3924171,,3876048,,7800219,
全国（日本）,2000年,35～39歳,4096286,,4018579,,8114865,
全国（日本）,2000年,30～34歳,4436818,,4339792,,8776610,
全国（日本）,2000年,25～29歳,4965277,,4825032,,9790309,
全国（日本）,2000年,20～24歳,4307242,,4114218,,8421460,
全国（日本）,2000年,15～19歳,3833984,,3654181,,7488165,
全国（日本）,2000年,10～14歳,3353150,,3193462,,6546612,
全国（日本）,2000年,5～9歳,3083431,,2938358,,6021789,
全国（日本）,2000年,0～4歳,3022521,,2881577,,5904098,
全国（日本）,2000年,総数,62110764,総務省統計局「国勢調査」による。,64815079,総務省統計局「国勢調査」による。,126925843,
全国（日本）,2005年,100歳以上,3760,,21593,,25353,
全国（日本）,2005年,95～99歳,41426,,169795,,211221,
全国（日本）,2005年,90～94歳,210586,,630284,,840870,
全国（日本）,2005年,85～89歳,555126,,1294134,,1849260,
全国（日本）,2005年,80～84歳,1222635,,2189758,,3412393,
全国（日本）,2005年,75～79歳,2256317,,3006484,,5262801,
全国（日本）,2005年,70～74歳,3039743,,3597754,,6637497,
全国（日本）,2005年,65～69歳,3545006,,3887604,,7432610,
全国（日本）,2005年,60～64歳,4154529,,4390100,,8544629,
全国（日本）,2005年,55～59歳,5077369,,5177795,,10255164,
全国（日本）,2005年,50～54歳,4383240,,4413259,,8796499,
全国（日本）,2005年,45～49歳,3867500,,3858361,,7725861,
全国（日本）,2005年,40～44歳,4065470,,4015126,,8080596,
全国（日本）,2005年,35～39歳,4402787,,4332994,,8735781,
全国（日本）,2005年,30～34歳,4933265,,4821592,,9754857,
全国（日本）,2005年,25～29歳,4198551,,4081498,,8280049,
全国（日本）,2005年,20～24歳,3754822,,3595776,,7350598,
全国（日本）,2005年,15～19歳,3373430,,3194950,,6568380,
全国（日本）,2005年,10～14歳,3080678,,2933974,,6014652,
全国（日本）,2005年,5～9歳,3036503,,2891992,,5928495,
全国（日本）,2005年,0～4歳,2854502,,2723585,,5578087,
全国（日本）,2005年,総数,62348977,総務省統計局「国勢調査」による。,65419017,総務省統計局「国勢調査」による。,127767994,
全国（日本）,2010年,100歳以上,5851,,38031,,43882,
全国（日本）,2010年,95～99歳,55739,,241017,,296756,
全国（日本）,2010年,90～94歳,241799,,779908,,1021707,
全国（日本）,2010年,85～89歳,744222,,1688366,,2432588,
全国（日本）,2010年,80～84歳,1692584,,2643680,,4336264,
全国（日本）,2010年,75～79歳,2582940,,3358073,,5941013,
全国（日本）,2010年,70～74歳,3225503,,3737799,,6963302,
全国（日本）,2010年,65～69歳,3921774,,4288399,,8210173,
全国（日本）,2010年,60～64歳,4920468,,5116781,,10037249,
全国（日本）,2010年,55～59歳,4287489,,4376245,,8663734,
全国（日本）,2010年,50～54歳,3809576,,3834923,,7644499,
全国（日本）,2010年,45～49歳,4027969,,4005147,,8033116,
全国（日本）,2010年,40～44歳,4400375,,4341490,,8741865,
全国（日本）,2010年,35～39歳,4950122,,4836227,,9786349,
全国（日本）,2010年,30～34歳,4221011,,4120486,,8341497,
全国（日本）,2010年,25～29歳,3691723,,3601978,,7293701,
全国（日本）,2010年,20～24歳,3266240,,3160193,,6426433,
全国（日本）,2010年,15～19歳,3109229,,2954128,,6063357,
全国（日本）,2010年,10～14歳,3031943,,2889092,,5921035,
全国（日本）,2010年,5～9歳,2859805,,2725856,,5585661,
全国（日本）,2010年,0～4歳,2710581,,2586167,,5296748,
全国（日本）,2010年,総数,62327737,総務省統計局「国勢調査」による。,65729615,総務省統計局「国勢調査」による。,128057352,
全国（日本）,2015年,100歳以上,8383,,53380,,61763,
全国（日本）,2015年,95～99歳,63265,,296082,,359347,
全国（日本）,2015年,90～94歳,333335,,1015785,,1349120,
全国（日本）,2015年,85～89歳,1056641,,2060616,,3117257,
全国（日本）,2015年,80～84歳,1994326,,2967094,,4961420,
全国（日本）,2015年,75～79歳,2787417,,3489439,,6276856,
全国（日本）,2015年,70～74歳,3582440,,4113371,,7695811,
全国（日本）,2015年,65～69歳,4659662,,4984205,,9643867,
全国（日本）,2015年,60～64歳,4151119,,4303891,,8455010,
全国（日本）,2015年,55～59歳,3729523,,3785723,,7515246,
全国（日本）,2015年,50～54歳,3968311,,3961985,,7930296,
全国（日本）,2015年,45～49歳,4354877,,4307927,,8662804,
全国（日本）,2015年,40～44歳,4914018,,4818200,,9732218,
全国（日本）,2015年,35～39歳,4204202,,4111955,,8316157,
全国（日本）,2015年,30～34歳,3684747,,3606131,,7290878,
全国（日本）,2015年,25～29歳,3255717,,3153895,,6409612,
全国（日本）,2015年,20～24歳,3046392,,2921735,,5968127,
全国（日本）,2015年,15～19歳,3085416,,2922972,,6008388,
全国（日本）,2015年,10～14歳,2868024,,2731293,,5599317,
全国（日本）,2015年,5～9歳,2714591,,2585196,,5299787,
全国（日本）,2015年,0～4歳,2550921,,2436785,,4987706,
全国（日本）,2015年,総数,61841738,総務省統計局「国勢調査」による。,65253007,総務省統計局「国勢調査」による。,127094745,
全国（日本）,2020年,100歳以上,9766,,69757,,79523,
全国（日本）,2020年,95～99歳,92110,,400614,,492724,
全国（日本）,2020年,90～94歳,491303,,1287713,,1779016,
全国（日本）,2020年,85～89歳,1303473,,2366350,,3669823,
全国（日本）,2020年,80～84歳,2196093,,3100635,,5296728,
全国（日本）,2020年,75～79歳,3092860,,3838068,,6930928,
全国（日本）,2020年,70～74歳,4249286,,4762509,,9011795,
全国（日本）,2020年,65～69歳,3910060,,4165208,,8075268,
全国（日本）,2020年,60～64歳,3592903,,3704287,,7297190,
全国（日本）,2020年,55～59歳,3865303,,3902179,,7767482,
全国（日本）,2020年,50～54歳,4277003,,4262848,,8539851,
全国（日本）,2020年,45～49歳,4862990,,4787303,,9650293,
全国（日本）,2020年,40～44歳,4189446,,4101631,,8291077,
全国（日本）,2020年,35～39歳,3696855,,3614712,,7311567,
全国（日本）,2020年,30～34歳,3297031,,3187563,,6484594,
全国（日本）,2020年,25～29歳,3074087,,2957877,,6031964,
全国（日本）,2020年,20～24歳,3017869,,2913437,,5931306,
全国（日本）,2020年,15～19歳,2880029,,2737411,,5617440,
全国（日本）,2020年,10～14歳,2742131,,2608386,,5350517,
全国（日本）,2020年,5～9歳,2606651,,2482442,,5089093,
全国（日本）,2020年,0～4歳,2311189,,2204893,,4516082,
全国（日本）,2020年,総数,61349581,総務省統計局「国勢調査」による。,64796518,総務省統計局「国勢調査」による。,126146099,
