地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1940年,85～89歳,26111,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,58234,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,84345,
全国（日本）,1940年,80～84歳,90602,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,163525,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,254127,
全国（日本）,1940年,75～79歳,215952,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,330456,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,546408,
全国（日本）,1940年,70～74歳,421186,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,573720,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,994906,
全国（日本）,1940年,65～69歳,702545,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,852617,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1555162,
全国（日本）,1940年,60～64歳,1049207,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1178205,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2227412,
全国（日本）,1940年,55～59歳,1240737,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1318804,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2559541,
全国（日本）,1940年,50～54歳,1456632,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1430587,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2887219,
全国（日本）,1940年,45～49歳,1649661,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1557551,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,3207212,
全国（日本）,1940年,40～44歳,1976906,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,1857152,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,3834058,
全国（日本）,1940年,35～39歳,2260747,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2162140,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,4422887,
全国（日本）,1940年,30～34歳,2507243,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2440013,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,4947256,
全国（日本）,1940年,25～29歳,2837267,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,2815917,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,5653184,
全国（日本）,1940年,20～24歳,3057395,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,3046258,朝鮮、台湾、樺太及び南洋群島以外の国籍の外国人を除く。,6103653,
